Manufacturer,Model,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
Click for Details,EnvisionTEC,Perfactory 3 Mini Multi Lens with ERM,"Lens f=2.95"" (75mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",2.48,1.86,9.06,"$50,000 - $99,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 3 Mini Multi Lens with ERM,"Lens f=3.35"" (85mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",1.73,1.3,9.06,"$50,000 - $99,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 4 DDP4,ERM,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer",Gypsum-like,4.5,2.8,9.06,"$50,000 - $99,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 4 DDP4 M,ERM,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer",Gypsum-like,6.3,3.9,9.06,"$50,000 - $99,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 4 DDP4 XL,ERM,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer",Gypsum-like,7.6,4.7,9.06,"$50,000 - $99,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 4 DSP,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,6.3,3.9,9.06,"$50,000 - $99,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 4 DSP,ERM,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,6.3,3.9,9.06,"$50,000 - $99,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 4 DSP XL,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,7.6,4.7,9.06,"$100,000 - $249,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 4 DSP XL,ERM,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,7.6,4.7,9.06,"$100,000 - $249,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 4 Standard,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, PP-like, Wax-like",6.3,3.9,9.06,"$50,000 - $99,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 4 Standard,ERM,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, PP-like, Wax-like",6.3,3.9,9.06,"$50,000 - $99,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 4 Standard XL,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",7.6,4.7,9.06,"$50,000 - $99,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 4 Standard XL,ERM,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",7.6,4.7,9.06,"$50,000 - $99,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Apollo,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax",Wax-like,3.94,2.95,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Apollo PLUS,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax",Wax-like,3.94,2.94,3.15,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Aureus,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax",Wax-like,2.36,1.77,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory DDDP,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer",Gypsum-like,3.94,2.95,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory DDDP PLUS,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer",Gypsum-like,3.94,2.95,3.15,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory DDSP,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,3.94,2.94,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory DDSP PLUS,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,2.36,1.77,3.15,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Desktop XL,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer",ABS-like,3.94,2.94,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Desktop XL PLUS,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer",ABS-like,3.94,2.94,3.15,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Micro Advantage,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax","ABS-like, Wax-like",2.36,1.77,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Micro DDP,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer",,1.57,1.18,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Micro DGP,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.94,2.94,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Micro DSP L,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,2.36,1.77,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Micro DSP M,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,1.97,1.48,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Micro DSP S,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,1.57,1.18,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Micro EDU,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer, Wax","ABS-like, Gypsum-like, PP-like, Wax-like",3.94,2.94,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Micro HiRes,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax","ABS-like, Wax-like",1.57,1.18,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Micro Ortho,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer","ABS-like, Gypsum-like",3.94,2.94,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Micro XL,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer","ABS-like, Gypsum-like, PP-like",3.94,2.94,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Mini DDSP,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,2.36,1.77,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory Mini DDSP PLUS,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,2.36,1.77,3.15,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory PixCera,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer",Gypsum-like,2.36,1.77,3.94,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory PixCera PLUS,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer",Gypsum-like,2.36,1.77,3.15,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory WaxEra,,,Vat Photopolymerization (e.g. SLA),Wax,Wax-like,1.574804,1.181103,3.93701,Price not reported,Discontinued
Click for Details,EOS,EOSINT M 270,,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Nickel, Steel, Titanium",9.85,9.85,8.5,"$250,000 - $499,999",Discontinued
Click for Details,EOS,EOSINT M 270,Dual Mode,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Nickel, Steel, Titanium",9.85,9.85,8.5,"$250,000 - $499,999",Discontinued
Click for Details,EOS,EOSINT M 270,Standard,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Nickel, Steel, Titanium",9.85,9.85,8.5,"$250,000 - $499,999",Discontinued
Click for Details,EOS,EOSINT M 270,Xtended,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Nickel, Steel, Titanium",9.85,9.85,8.5,"$250,000 - $499,999",Discontinued
Click for Details,EOS,EOSINT M 280,,200,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.85,9.85,12.8,"$250,000 - $499,999",Discontinued
Click for Details,EOS,EOSINT P 350,,,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass",,,,Price not reported,Discontinued
Click for Details,EOS,EOSINT P 360,,,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",,,,Price not reported,Discontinued
Click for Details,EOS,EOSINT P 380,,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Metal, PS",13.4,13.4,24.4,Price not reported,Discontinued
Click for Details,EOS,EOSINT P 380i,,,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Metal, PS",,,,Price not reported,Discontinued
Click for Details,EOS,EOSINT P 385,,,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Metal, PS",13.4,13.4,24.4,Price not reported,Discontinued
Click for Details,EOS,EOSINT P 390,,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Metal, PS",13.4,13.4,24.4,Price not reported,Discontinued
Click for Details,EOS,EOSINT P 395,Basic,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Metal, PS, TPE",13.4,13.4,24.4,Price not reported,Discontinued
Click for Details,EOS,EOSINT P 395,Surface,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Metal, PS, TPE",13.4,13.4,24.4,Price not reported,Discontinued
Click for Details,EOS,EOSINT P 700,,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",27.6,15,22.9,Price not reported,Discontinued
Click for Details,EOS,EOSINT P 730,,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",27.6,15,22.9,Price not reported,Discontinued
Click for Details,EOS,EOSINT P 760,Basic,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",27.6,15,22.9,"$500,000 - $999,999",Discontinued
Click for Details,EOS,EOSINT P 760,Surface,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",27.6,15,22.9,"$500,000 - $999,999",Discontinued
Click for Details,EOS,EOSINT S 750,,1000,Powder Bed Fusion (e.g. SLS),Sand,Silicate,28.4,15,15,"$500,000 - $999,999",Discontinued
Click for Details,EOS,FORMIGA P 100,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",,7.9,9.8,13,"$100,000 - $249,999",Discontinued
Click for Details,EOS,FORMIGA P 100 (Rel 2),,,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",,,,"$100,000 - $249,999",Discontinued
Click for Details,EOS,FORMIGA P 100 Dental,,,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",PA,,,,"$100,000 - $249,999",Discontinued
Click for Details,EOS,FORMIGA P 110,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",7.9,9.8,13,"$100,000 - $249,999",Discontinued
Click for Details,EVO-tech,Evo-Lizer,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PPS, ASA, PLA, PET, TPE, HIPS",10.63,7.87,8.27,"Less than $49,999",Discontinued
Click for Details,ExOne,X1-Lab,,,Binder Jetting,Metal,Steel,1.5,2.3,1.3,"$100,000 - $249,999",Discontinued
Click for Details,Helix 3D,Helix,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PC, PETT, PA",11.81103,11.417329,11.81103,"Less than $49,999",Discontinued
Click for Details,HP,HP Jet Fusion 3D 3200 Printer,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,15,11,15,"$100,000 - $249,999",Discontinued
Click for Details,Hunan Farsoon,FARSOON 251,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",9.84,9.84,12.6,"$100,000 - $249,999",Discontinued
Click for Details,Hunan Farsoon,FARSOON 251,HT,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",9.84,9.84,12.6,"$100,000 - $249,999",Discontinued
Click for Details,Hunan Farsoon,FARSOON 401,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",15.75,15.75,17.72,"$250,000 - $499,999",Discontinued
Click for Details,Hunan Farsoon,FARSOON 402,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",15.75,15.75,17.72,"$250,000 - $499,999",Discontinued
Click for Details,Hunan Farsoon,FARSOON 402,HS,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",15.75,15.75,17.72,"$250,000 - $499,999",Discontinued
Click for Details,Hunan Farsoon,FARSOON 402,SS,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",15.75,15.75,17.72,"$250,000 - $499,999",Discontinued
Click for Details,InssTek,MPC,"5 Axis Motion Model, SDM 800",500,Directed Energy Deposition,Metal,Titanium,,,,Price not reported,Discontinued
Click for Details,InssTek,MX-250,"3 Axis Motion Model, SDM 500",300,Directed Energy Deposition,Metal,,9.8,9.8,9.8,Price not reported,Discontinued
Click for Details,InssTek,MX-250,"3 Axis Motion Model, SDM 800",300,Directed Energy Deposition,Metal,,9.8,9.8,9.8,Price not reported,Discontinued
Click for Details,InssTek,MX-250,"5 Axis Motion Model, SDM 500",300,Directed Energy Deposition,Metal,,9.8,9.8,9.8,Price not reported,Discontinued
Click for Details,InssTek,MX-250,"5 Axis Motion Model, SDM 800",300,Directed Energy Deposition,Metal,,9.8,9.8,9.8,Price not reported,Discontinued
Click for Details,InssTek,MX-450,"3 Axis Motion Model, SDM 1200",1000,Directed Energy Deposition,Metal,"Steel, Copper, Aluminum, Titanium, Nickel, Cobalt, Tin, Refractory Metal",17.716545,17.716545,13.779535,"$500,000 - $999,999",Discontinued
Click for Details,InssTek,MX-450,"3 Axis Motion Model, SDM 500",1000,Directed Energy Deposition,Metal,"Steel, Copper, Aluminum, Titanium, Nickel, Cobalt, Tin, Refractory Metal",17.716545,17.716545,13.779535,"$500,000 - $999,999",Discontinued
Click for Details,InssTek,MX-450,"3 Axis Motion Model, SDM 800",1000,Directed Energy Deposition,Metal,"Steel, Copper, Aluminum, Titanium, Nickel, Cobalt, Tin, Refractory Metal",17.716545,17.716545,13.779535,"$500,000 - $999,999",Discontinued
Click for Details,InssTek,MX-450,"5 Axis Motion Model, SDM 1200",1000,Directed Energy Deposition,Metal,"Steel, Copper, Aluminum, Titanium, Nickel, Cobalt, Tin, Refractory Metal",17.716545,17.716545,13.779535,"$500,000 - $999,999",Discontinued
Click for Details,InssTek,MX-450,"5 Axis Motion Model, SDM 500",1000,Directed Energy Deposition,Metal,"Steel, Copper, Aluminum, Titanium, Nickel, Cobalt, Tin, Refractory Metal",17.716545,17.716545,13.779535,"$500,000 - $999,999",Discontinued
Click for Details,InssTek,MX-450,"5 Axis Motion Model, SDM 800",1000,Directed Energy Deposition,Metal,"Steel, Copper, Aluminum, Titanium, Nickel, Cobalt, Tin, Refractory Metal",17.716545,17.716545,13.779535,"$500,000 - $999,999",Discontinued
Click for Details,Kevvox,SP4300,,,Vat Photopolymerization (e.g. SLA),Polymer,"PP-like, ABS-like",2.2,1.38,3.94,"Less than $49,999",Discontinued
Click for Details,Kevvox,SP6200,,,Vat Photopolymerization (e.g. SLA),Polymer,"PP-like, ABS-like",3.15,1.97,3.94,"Less than $49,999",Discontinued
Click for Details,Keyence,Agilista-3100,,,Material Jetting,Polymer,,11.69,8.27,7.87,"Less than $49,999",Discontinued
Click for Details,Laseradd,Laseradd DiMetal-280,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium",9.84,9.84,11.81,Price not reported,Discontinued
Click for Details,Laseradd,Laseradd DiMetal-280,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium",9.84,9.84,11.81,Price not reported,Discontinued
Click for Details,MCor Technologies,IRIS,,,Sheet Lamination,Paper,Paper,10.08,6.65,5.91,"Less than $49,999",Discontinued
Click for Details,Mutoh,MA5000-S1,,,Directed Energy Deposition,Metal,"Steel, Nickel, Titanium, Aluminum, Magnesium",19.69,19.69,19.69,"$100,000 - $249,999",Discontinued
Click for Details,PrismLab,Rapid200,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.25,7.56,7.56,Price not reported,Discontinued
Click for Details,Prodways,ProMaker D35,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,28.35,9.06,5.91,"$250,000 - $499,999",Discontinued
Click for Details,Prodways,ProMaker L8000,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,33.07,25.98,21.65,"$250,000 - $499,999",Discontinued
Click for Details,Prodways,ProMaker LD-20,,,Vat Photopolymerization (e.g. SLA),Polymer,,11.81,17.52,7.87,"$100,000 - $249,999",Discontinued
Click for Details,Prodways,ProMaker P4000 HS,,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral",15.75,15.75,17.72,Price not reported,Discontinued
Click for Details,Prodways,ProMaker P4000 SD,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral",15.75,15.75,17.72,Price not reported,Discontinued
Click for Details,Prodways,ProMaker P4000 X,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral",15.75,15.75,17.72,Price not reported,Discontinued
Click for Details,Prodways,ProMaker V4000,,,Vat Photopolymerization (e.g. SLA),Ceramic,,11.81103,11.81103,3.93701,Price not reported,Discontinued
Click for Details,Rapid Shape,D30,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.330711,2.440946,3.346459,"Less than $49,999",Discontinued
Click for Details,Rapid Shape,D40,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.330711,4.881892,3.346459,"Less than $49,999",Discontinued
Click for Details,Rapid Shape,HA20,,,Vat Photopolymerization (e.g. SLA),Polymer,,1.97,1.57,3.35,"Less than $49,999",Discontinued
Click for Details,Rapid Shape,HA30,,,Vat Photopolymerization (e.g. SLA),Polymer,,1.968505,1.377954,3.149608,"Less than $49,999",Discontinued
Click for Details,Rapid Shape,HA30 2017,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.19,1.81,3.35,"Less than $49,999",Discontinued
Click for Details,Rapid Shape,HA40,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.71,3.15,3.15,"Less than $49,999",Discontinued
Click for Details,Rapid Shape,HA60 UV,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.330711,2.440946,3.543309,"Less than $49,999",Discontinued
Click for Details,Rapid Shape,HA90,,,Vat Photopolymerization (e.g. SLA),Polymer,,6.023625,3.77953,5.905515,"$50,000 - $99,999",Discontinued
Click for Details,Rapid Shape,S50 maxi,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.881892,2.755907,3.543309,"Less than $49,999",Discontinued
Click for Details,Rapid Shape,S50 midi,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.74016,2.086615,3.543309,"Less than $49,999",Discontinued
Click for Details,Rapid Shape,S50 mini,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.992128,1.653544,3.543309,"Less than $49,999",Discontinued
Click for Details,Rapid Shape,S60 maxi,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.881892,2.755907,4.330711,"$50,000 - $99,999",Discontinued
Click for Details,Rapid Shape,S60 midi,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.74016,2.086615,4.330711,"$50,000 - $99,999",Discontinued
Click for Details,Rapid Shape,S60 mini,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.992128,1.653544,4.330711,"$50,000 - $99,999",Discontinued
Click for Details,Rapid Shape,S90,,,Vat Photopolymerization (e.g. SLA),Polymer,,6.023625,3.385829,7.87402,"$50,000 - $99,999",Discontinued
Click for Details,Rapid Shape,S90 L,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.559059,4.251971,7.87402,"$50,000 - $99,999",Discontinued
Click for Details,Re3D,Gigabot,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS",23.2,23.6,23.6,"Less than $49,999",Discontinued
Click for Details,Re3D,Gigabot XL,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS",23.2,30,23.6,"Less than $49,999",Discontinued
Click for Details,Re3D,Gigabot XLT,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS",23.2,30,36,"Less than $49,999",Discontinued
Click for Details,Realizer,SLM 100,,,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",4.92,4.92,7.87,"$100,000 - $249,999",Discontinued
Click for Details,Realizer,SLM 250,,600,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",9.84,9.84,11.81,"$250,000 - $499,999",Discontinued
Click for Details,Realizer,SLM 300,,1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",11.81,11.81,11.81,"$500,000 - $999,999",Discontinued
Click for Details,Realizer,SLM 300,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",11.81,11.81,11.81,"$500,000 - $999,999",Discontinued
Click for Details,Realizer,SLM 300,,600,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",11.81,11.81,11.81,"$500,000 - $999,999",Discontinued
Click for Details,Realizer,SLM 300,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",11.81,11.81,11.81,"$500,000 - $999,999",Discontinued
Click for Details,Roland,ARM-10,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.1,2.7,2.7,"Less than $49,999",Discontinued
Click for Details,Shanghai Union Technology,DLP DeX50,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.1,1.3,3.9,"Less than $49,999",Discontinued
Click for Details,Shanghai Union Technology,DLP DeX60,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.5,1.6,3.9,"Less than $49,999",Discontinued
Click for Details,Shanghai Union Technology,EvoDent DLP,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.33,2.44,3.35,Price not reported,Discontinued
Click for Details,Shanghai Union Technology,Lite300,,0.5,Vat Photopolymerization (e.g. SLA),Polymer,,11.8,11.8,7.9,"$50,000 - $99,999",Discontinued
Click for Details,Shanghai Union Technology,Lite300,,1,Vat Photopolymerization (e.g. SLA),Polymer,,11.8,11.8,7.9,"$50,000 - $99,999",Discontinued
Click for Details,Shanghai Union Technology,Pilot SD,,,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,9.84,Price not reported,Discontinued
Click for Details,Shanghai Union Technology,RS3500,,,Vat Photopolymerization (e.g. SLA),Polymer,,13.8,13.8,11.8,"$100,000 - $249,999",Discontinued
Click for Details,Shanghai Union Technology,RS4500,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.7,17.7,15.7,"$100,000 - $249,999",Discontinued
Click for Details,Shanghai Union Technology,RS6000,,,Vat Photopolymerization (e.g. SLA),Polymer,,23.6,23.6,15.7,"$100,000 - $249,999",Discontinued
Click for Details,Shanghai Union Technology,RS8000,,,Vat Photopolymerization (e.g. SLA),Polymer,,31.5,23.6,15.7,Price not reported,Discontinued
Click for Details,Shanghai Union Technology,RSPro 450,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.7,17.7,15.7,"$100,000 - $249,999",Discontinued
Click for Details,Shining 3D,EP-P380,,55,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PP, TPU, PE, TPE",14.9,14.9,19.6,Price not reported,Discontinued
Click for Details,Shining 3D,iSLA-450,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.7,17.7,15.7,Price not reported,Discontinued
Click for Details,Shining 3D,iSLA-600 Pro,,,Vat Photopolymerization (e.g. SLA),Polymer,,23.62,23.62,15.75,Price not reported,Discontinued
Click for Details,Shining 3D,iSLA-650,,,Vat Photopolymerization (e.g. SLA),Polymer,,25.6,23.6,15.7,Price not reported,Discontinued
Click for Details,Sisma,MY SINT PM,100mm Diameter,150,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Gold, Silver, Steel",3.93701,3.93701,3.149608,Price not reported,Discontinued
Click for Details,Sisma,MY SINT PM,34.5mm Diameter,150,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Gold, Silver, Steel",1.358268,1.358268,3.149608,Price not reported,Discontinued
Click for Details,Sisma,MY SINT PM,50mm Diameter,150,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Gold, Silver, Steel",1.968505,1.968505,3.149608,Price not reported,Discontinued
Click for Details,Sisma,MY SINT PM,63.5mm Diameter,150,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Gold, Silver, Steel",2.500001,2.500001,3.149608,Price not reported,Discontinued
Click for Details,Sisma,MY SINT PM,85mm Diameter,150,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Gold, Silver, Steel",3.346459,3.346459,3.149608,Price not reported,Discontinued
Click for Details,Sisma,myrev100,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.94,3.94,5.91,Price not reported,Discontinued
Click for Details,Sisma,myrev140,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.51,5.51,5.91,Price not reported,Discontinued
Click for Details,SLM Solutions,SLM 125 HL,,100,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",4.92,4.92,2.95,"$250,000 - $499,999",Discontinued
Click for Details,SLM Solutions,SLM 125 HL,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",4.92,4.92,2.95,"$250,000 - $499,999",Discontinued
Click for Details,SLM Solutions,SLM 125 HL,Extension Z-axis,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",4.92,4.92,4.92,"$250,000 - $499,999",Discontinued
Click for Details,SLM Solutions,SLM 125 HL,Extension Z-axis,100,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",4.92,4.92,4.92,"$250,000 - $499,999",Discontinued
Click for Details,SLM Solutions,SLM 125 HL (2015 Release),,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",4.92,4.92,2.95,"$250,000 - $499,999",Discontinued
Click for Details,SLM Solutions,SLM 125 HL (2015 Release),Extension Z-axis,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",4.92,4.92,4.92,"$250,000 - $499,999",Discontinued
Click for Details,SLM Solutions,SLM 280 HL,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum, Nickel",11.02,11.02,13.78,"$500,000 - $999,999",Discontinued
